url,content,category
https://www.nytimes.com/2020/07/02/movies/jurassic-park.html,‘Jurassic Park’: Where the Wild Things Are Advertisement Supported by your weekend watch with manohla and tony Our critics and readers make a return trip to the movie that kicked off a franchise. Does the blockbuster hold up in a summer without one? None None Set on a lush island  the park is the brainchild of John Hammond (Richard Attenborough)  a showman with a passion for spectacle and extinct reptiles. Spielberg  adapting Michael Crichton’s best seller  shared those enthusiasms as did the film’s original audience. The lifelike quality of the dinosaurs and the intensity of the action were big selling points 27 years ago and we wondered how they looked to our readers in light of today’s CGI-heavy blowouts. We also hoped readers would sink their teeth into some of the film’s meatier themes: the struggle between science and commerce  the tension between environmentalism and greed  the contrast between innocence and corruption  the debate between Dr. Grant (Sam Neill) and Dr. Sattler (Laura Dern) about having kids. And then there’s that dialectical puzzler  Steven Spielberg  the wunderkind turned empire-builder  who has long played the hero and the villain of modern Hollywood. None None Watching “Jurassic Park” on my little screen this time around  I was struck by how refreshingly un-grandiose it seemed  at least when compared with the ponderous apocalypticism of recent tentpoles. The moments of wonder  exposition and ethical chin-scratching are arranged around a series of action set pieces that are scary  scrappy and marvelously executed. Their effectiveness has less to do with the dinosaurs (cool as they are) than with Spielberg’s craft. He’s just so good at building suspense and pacing and cutting through a scene  providing jolts and giggles as he builds toward a big scare or a hairs-breadth escape. None This of course brings me to the most astonishing image in the film  which is of Jeff Goldblum’s injured “chaotician” (hoot!)  Dr. Malcolm  lying back with his black shirt unbuttoned to expose his lightly furred musculature. Consciously or not  Spielberg turns Goldblum into a sexualized spectacle  complete with dark shades and come-hither mien  a framing that seems dedicated to destroying a noxious ethnic stereotype. Goldblum has suggested in interviews that this great unbuttoning was spontaneous  but whether it is  the effect is the same. It’s as if Spielberg were saying  You want hot Jewish guys? I’ll give you hot Jewish guys! None None None None None None None Advertisement ,articles/movies
https://www.nytimes.com/2020/06/25/movies/jurassic-park.html,Viewing Party! Let’s all Watch ‘Jurassic Park’ Advertisement Supported by your weekend watch with tony and manohla Does Steven Spielberg’s 1993 blockbuster  with its ravenous dinosaurs and scientist heroes  still satisfy our hunger for action? None None None That’s kind of funny  since on the evidence of “Jurassic Park ” they certainly don’t love us  except in the way that some moviegoers love Twizzlers. But the big lizards — or proto-birds  as Sam Neill’s paleontologist would insist — aren’t the bad guys. They’re female  for one thing  and are also simply acting according to the dictates of nature. They didn’t ask to be cloned back into existence as theme-park attractions. The malign forces at work here (spoiler alert!) are human greed and ambition  represented by the scheming lowlife IT whiz (Wayne Knight) and the idealistic showman (Richard Attenborough). And to some extent by Spielberg  too. “Jurassic Park” shakes a finger at voracious commercialism while another hand works the cash register. Depending on your view  that blatant contradiction is cynical or just part of the fun. The human cast definitely is. Samuel L. Jackson plays the chain-smoking theme-park tech guy. Jeff Goldblum  more reptilian than most of the dinos  is a smooth-talking “chaotician.” And then there is Laura Dern as a paleobotanist who adroitly smashes the girl-scientist stereotype (well  almost). None Advertisement ,articles/movies
https://www.nytimes.com/2020/06/16/movies/nine-to-five-viewers.html,Punching the Clock (and the Boss) With Dolly  Lily and Jane Advertisement Supported by Your Weekend Watch With Tony and Manohla Our critics and readers ponder the workplace politics and current relevance of “Nine to Five.” None None None “Nine to Five” was also part of a boomlet of female-driven films that suggested change had come to the movies. None We chose “Nine to Five” as our latest Weekend Watch while The Times was in the middle of turmoil that led to a great deal of internal soul searching. I’d seen the film not long ago  and  despite its flat-footed direction  it seemed like an apt choice. But watching it again amid a national reckoning on race  all I could see — and think about — was how white (and straight) it is. It’s at once empowering and dispiriting  and less a call to revolution than another of the industry’s well-meaning liberal calls for playing nice with power. I love the leads  but still. “This wasn’t funny in 1980 and it isn’t funny now. If the three protagonists had been black  no one would be laughing. — Barbara A. Lee  NY (via email) None None Part of the fun of the movie is the way their characters refract their well-established public personas. Fonda plays the prim  sheltered Judy absolutely straight and with a fragile dignity that falls away to reveal her wit and toughness. Wit and toughness are the qualities that Tomlin leads with  but we also see how Violet’s confidence has been eroded by the steady poison of humiliation. Doralee starts out as the punchline to a joke — the joke that Parton would often disarm by telling on herself and then turning around. This is a fable of empowerment that is aware of real obstacles and limitations. Its credibility comes from the knowledge that the three stars  for all the power they may have achieved in Hollywood and Nashville  had been exploited  belittled and taken for granted  too. None None None None None Now  as many of us wonder if we’ll ever see the inside of an office again  we can recognize what has and hasn’t changed. None What annoyed me this time (and never before) was that Franklin Hart got away with his embezzlement. I am sick of white collar criminals and grifters and he is just one more! Brazil doesn’t seem like much punishment. Maybe if they sent him to the branch office in Siberia? Or how about if he just got caught and went to jail? — Leslie H. Nicoll (via email) Advertisement ,articles/movies
https://www.nytimes.com/2020/06/11/movies/nine-to-five-dolly-parton.html,Viewing Party! Let’s All Watch ‘Nine to Five’! Advertisement Supported by Your Weekend Watch With Tony and Manohla Pour yourself a cup of ambition and watch Dolly Parton  Jane Fonda and Lily Tomlin ignite a comic revolution against their boss  a “sexist  egotistical  lying  hypocritical bigot.” None None None Workin’ 9 to 5  what a way to make a livin’ Barely gettin’ by  it’s all takin’ and no givin’ They just use your mind and they never give you credit It’s enough to drive you crazy if you let it None None Advertisement ,articles/movies
https://www.nytimes.com/2020/06/02/movies/some-like-it-hot.html,We Still Like It Hot Advertisement Supported by Your Weekend Watch With Tony and Manohla Zowie! Our critics and readers pondered the silliness and semiotics of “Some Like It Hot ” with Jack Lemmon  Marilyn Monroe and Tony Curtis  all in dresses and tottering heels. None None None The sexual politics might. Our readers had a lot of fun with Curtis and Lemmon dressed in 1920s women’s clothing  but they also had some issues — as did we. None None None None None None None Along these lines it’s worth pointing out that both this emblem of whiteness and this very white movie were created right in the middle of the civil rights movement. None In that company  “Some Like It Hot” looks like a bit of a throwback — in other ways too. There’s a pre-Code energy to its naughtiness  and the whiz-bang dialogue (by Wilder and I.A.L. Diamond) sounds like a salute to classic screwball. If this movie had been made in the ’30s or ’40s  though  the cast would most likely have included a handful of black actors  playing Pullman porters  hotel workers and jazz musicians. Their absence can be taken as a sign of sensitivity  a move away from stereotypical  servile roles. I’m not saying those roles should have been there  only that Hollywood  not for the first or last time  found erasure to be the easiest solution to a problem of representation. I don’t think pointing this out spoils the fun. This is still a movie that makes me laugh out loud as few others do — a feeling shared by most of our readers. None None The whole movie feels like it was directed inside gigantic quotation marks. It’s a live-action cartoon with rat-a-tat guns and laughs  and gargoyle villains right out of Dick Tracy. Even Osgood’s signature “Zowie!” sounds like it should be in a comic-strip speech bubble. Some of the jokes are near-throwaways — like the “24 Hour Service” sign stuck in the window of a funeral parlor — but much of the humor is about who we are and who we’re supposed to be. The most brilliant stroke  of course  is Jerry-Daphne  who embraces his role as a “woman” so thoroughly that she becomes engaged to Osgood and who  after prodding from Joe (who gasses on about laws and conventions) needs to keep repeating “I’m a boy  I’m a boy” — oh  boy! None Advertisement ,articles/movies
https://www.nytimes.com/2020/05/28/movies/some-like-it-hot-marilyn-monroe.html,Viewing Party! Let’s All Watch ‘Some Like It Hot’! Advertisement Supported by Your Weekend Watch With Tony and Manohla In Billy Wilder’s 1959 winking comedy  Marilyn Monroe  starring alongside Tony Curtis and Jack Lemmon  is at the height of her comedic powers. None “I’m tired of getting the fuzzy end of the lollipop ” says Sugar “Kane” Kowalczyk  the ukulele player with a soft spot for saxophonists. A lot of us know how she feels. Everyone could use a little candy right now  and we can’t think of a sweeter way to spend time than with Sugar and her pals Jo and Daphne watching “Some Like It Hot.” Even if it’s your first encounter with this 1959 comedy — directed by Billy Wilder from a script that he wrote with I.A.L. Diamond — it spoils nothing to know that Jo and Daphne are really Joe and Jerry  and are played by Tony Curtis and Jack Lemmon. Marilyn Monroe  at the height of her comedic powers  is Sugar  who sings “I Wanna Be Loved By You” (and she is) and whose walk Jerry likens to “Jell-O on springs.” None None None Advertisement ,articles/movies
https://www.nytimes.com/2020/05/19/movies/whats-up-doc-barbra-streisand.html,When Barbra Streisand and Ryan O’Neal Went Screwball Advertisement Supported by Your Weekend Watch With Tony and Manohla Our critics and readers packed up their plaid valises and fled the doldrums of the present for the loony-tune streets of San Francisco circa 1972 and “What’s Up  Doc?” None None Plentiful jokes  precision timing  memorable oddballs  kooky situations and beautifully executed physical comedy — “What’s Up  Doc?” has it all and more  including the blissful  counterintuitive pairing of Ryan O’Neal and Streisand. He plays Howard Bannister  a fusty music professor who  on a trip to San Francisco with his fiancée  Eunice Burns (Madeline Kahn)  meets Streisand’s Judy Maxwell  a zany  seemingly rootless sexpot. What Judy wants  Judy gets  and she’s soon chasing Howard amid escalating complications  slam-bam slapstick and some of the greatest second bananas ever bunched together. None None None None None None None None None Other readers cited lines that have become family in-jokes or catchphrases. The marvel of a script is credited to a dream team of New Hollywood screenwriters: Buck Henry  who had written “The Graduate ” and Robert Benton and David Newman  the credited authors of “Bonnie and Clyde.” And while we’re at it  we can’t scant the contributions of the editor  Verna Fields (who would go on to win an Oscar for “Jaws”) and the production designer  Polly Platt. The décor of Mr. Larrabee’s house — with those Lucite pillars and all that fancy modern sculpture — and the surreal rooms on the 17th floor of the Bristol Hotel may be the real stars of the picture. None All these years later and the most famous film of 1972 is the male-driven “The Godfather ” a film I revere but that also epitomizes the macho ethos of New Hollywood. It’s instructive that “What’s Up  Doc?” isn’t reflexively included in the 1970s pantheon  which is crowded with both male auteurs and brooding  violent and deeply serious male characters with a sprinkling of sad ladies à la Faye Dunaway in “Chinatown.” Genre prejudices also play a role in how “What’s Up  Doc?” has been (relatively) slighted  I imagine. Comedies rarely receive the kind of gaga critical sanction that dramas do  at least until the director is discovered by later generations  Hawks wasn’t a god of the art until cineastes like Bogdanovich anointed him. None None Once the action leaves the hotel  it switches gears from Howard Hawks to Buster Keaton  from zippy  door-slamming dialogue comedy (with a generous sprinkling of sight gags) to almost wordless sequences that are sidesplittingly crazy and insanely rigorous. The big car chase above all  thanks to the simple addition of a ladder and a pane of glass. None “What’s Up  Doc?” is a tribute to the classics of an earlier era that became a classic in its own right. When I was a kid  it seemed to be on television every other week  and I never got tired of tuning in. A lot of people  of all ages and dispositions  seem to feel the same way. None Advertisement ,articles/movies
https://www.nytimes.com/2020/05/14/movies/viewing-party-whats-up-doc.html,Viewing Party! Let’s All Watch ‘What’s Up  Doc?’ Advertisement Supported by Your Weekend Watch With Tony and Manohla Does this 1972 farce — starring a madcap Barbra Streisand and a flustered Ryan O’Neal  and directed by Peter Bogdanovich — still have the screwball goods? None We’re feeling loopy and a little loony tunes under lockdown  and bet you are  too. We want to run around in the great outdoors  chase after a pizza-delivery guy and maybe throw a cream pie in someone’s face  all of which happens in the madcap comedy “What’s Up  Doc?” As light and ticklish as a cockatoo feather  Peter Bogdanovich’s ode to 1930s shenanigans is a guy-meets-gal story with pratfalls  silly jokes and perfectly timed slamming hotel doors. It doesn’t have a lot on its mind other than movie love and its own style — or does it? The dizzy story almost defies synopsis and involves spies and crooks and scholars and assorted identical red-plaid bags  all spinning like precariously balanced plates. At its core  though  there’s Ryan O’Neal as Howard Bannister  a sober  bespectacled music professor who arrives in San Francisco with his hilariously no-nonsense fiancée  Eunice Burns (a sublime Madeline Kahn in her feature debut). Their future and the film’s denouement is sealed the minute Judy Maxwell  an anarchic force played by Barbra Streisand  sets her sights on Howard. None None None Advertisement ,articles/movies
https://www.nytimes.com/2020/05/05/movies/do-the-right-thing-spike-lee.html,Why ‘Do the Right Thing’ Is Still a Great Movie Advertisement Supported by Your Weekend Watch With Tony and Manohla Our critics and readers chilled out watching Spike Lee  Rosie Perez and Danny Aiello heat up. And that’s the triple truth  Ruth. None None It’s part of the curriculum now: we received comments from high school students who watched it for class as well as remarks from some teachers. The students had a lot to say about Lee’s painful themes and arguments  which  among other things  dynamically put Martin Luther King Jr. and Malcolm X into play. None None None None But I have to be honest: through most of this viewing what I was thinking about most was pizza. I miss pizza so much. None None The casting of high-profile civil rights veterans in a story about racial acrimony and injustice can be read as a critique of — or lament about — the promises and disappointments of an earlier activist era. But it’s also a great authorial stroke and just one of the many significant and signifying parts of a movie dense with ambivalence and cultural meanings. Here  every sneaker (Jordans)  sports jersey (Jackie Robinson  No. 42)  song on the radio (“Fight the Power”) and blast of color (“Afrocentric bright” as Lee once described it) is another tile in a larger cinematic mosaic. Put differently  Lee is a great filmmaker  and  as the filmmaker Ryan Fleck (“Captain Marvel”) reminded us in a comment  also an influential one: None None None None How does that happen? How does it keep happening? “Do the Right Thing” looks for the answer in the details of everyday life  which is full of accidents  potential flash points and micro (and not so micro) aggressions. It’s also full of tenderness  silliness  and small moments of sorrow and grace. None None None None None None Advertisement ,articles/movies
https://www.nytimes.com/2020/04/30/movies/do-the-right-thing.html,Viewing Party! Let’s All Watch ‘Do the Right Thing’ Together! Advertisement Supported by Your Weekend Watch With Tony and Manohla Gather at the cool-out corner and speak your mind about Spike Lee’s 1989 portrait of a neighborhood — and country — on the boil. None None None Lee’s depiction of gentrification  police brutality  poverty and the mistrust and wary affection between black and white New Yorkers hasn’t dated  even if the city itself has changed in 30 years. But while “Do the Right Thing” remains a richly argumentative  debate-provoking  very American movie  it is more than the sum of its arguments. It is a showcase for Lee’s cinematic gifts  which don’t always receive their due  partly because critics tend to pay more attention to what he’s saying than how he’s saying it. The film is also a jewel box full of past  present and future stars: Ruby Dee  Rosie Perez  John Turturro  Giancarlo Esposito  Samuel L. Jackson  Danny Aiello  Bill Nunn  Martin Lawrence. You saw some of them here first. transcript Hello  everyone. This is Spike Lee  the producer  writer  director of ‘Do the Right Thing.’ This past June was the 30th anniversary of this film. I know the column is called ‘Anatomy of a Scene.’ I’m renaming this. I’m calling this ‘Anatomy of a Murder.’ The chokehold of Radio Raheem  played by the late  great Bill Nunn  my Morehouse brother— ”(SINGING) Fight the power. Fight the power. We’ve got to—” —was based upon the death of Michael Stewart. September 1983  Michael Stewart  a graffiti artist— he’s about as big as I am. 11 New York City transit police jumped on him and strangled our brother to death. That’s where I got the idea for the chokehold murder of Radio Raheem. And five years ago  Eric Garner died the same way that Radio Raheem did in a movie that was based upon the real life choke hold of Michael Stewart. So a lot of things in this film that even though it was written 31 years ago are still happening today. Black and brown people are still being murdered today by police forces across the United States of America  and the people who inflict this death walk free— don’t get fired  don’t get suspended. The film takes place one day  the hottest day of summer  in the People’s Republic of Brooklyn  New York. So tensions have risen all throughout the day. And the reason why it looks the way it is because the edict  the command  to Ernest  the DP  Wynn Thomas  the production designer  Ruth Carter  the costume designer— here’s what I told them. I said  look  I want people to be sweating in an air conditioning theater when they see this film. [CRASHES] And what we wanted to do is after he destroys the boombox  it’s quiet like the calm before a storm. Everybody’s like  what’s next? Everybody knows it gonna be bad. Everybody’s looking around— Radio Raheem. I mean  that was personal. It was like he got beat with the baseball bat because you’ve seen him the whole film with his boombox blasting Public Enemy’s ‘Fight the Power.’ We did not have a very good stunt coordinator  and people got hurt. Danny Aiello’s son  Danny Jr.  was his father’s double right here. This film was shot on one block in Bedford Stuyvesant. That one block got renamed ‘Do the Right Thing Way ’ the only street in the history of New York City named after a movie. [COMMOTION] Well  we gotta show that  number one  Sal’s Famous Pizzeria  is on the corner of the block directly opposite the Korean fruit and vegetable stand. So the fracas spilled out from Sal’s pizzeria to the street. So we had to show the block getting involved. “Fight!” “Mookie!” We wanted to start down and crane up so you could see the block. [COMMOTION] “Kill you! We’re gonna kill you  Sal!” And this becomes a brouhaha. Ozzie  trying to talk some sense— the love hate rings which is a homage to ‘Night of the Hunter.’ Robert Mitchum had them tattooed on his fingers. Now the cops come. Now we already have seen these two cops already. That’s Rick on the left— that’s Rick Aiello  Danny’s son. “Break it up! Break it up! Get off him! Get off him! Get out of the way!” And Sandoval play the other cop— Miguel Sandoval. Now you know if there’s a fight  who are they gonna grab? “You get over here!” [INTERPOSING VOICES] So this is a very hard scene to shoot. And for 31 years  it’s been a hard scene to watch. [INTERPOSING VOICES] “Just take him down  man.” “Goddammit  you’re killing him! You’re killing him!” “Give it up  asshole! Give it up!” This is the Michael Stewart chokehold. And when that Eric Garner thing happened  I put on my Instagram and Facebook with my editor  Barry Brown  and we cut back and forth between Radio Raheem and Eric Garner. And it’s the same thing. “Radio Raheem!” “Radio Raheem!” “No!” And then when he falls  we laid the camera down on the street so he would fall right into the lens. What does “Do the Right Thing” look like now? Does it still have the power to provoke? Does it make you angry and  if so  at what or whom? Are you struck by Lee’s fury or by his fondness for Brooklyn and its diverse inhabitants? If you haven’t seen the movie in a while  has your impression changed? And if you’re watching for the first time  does it live up to the hype? None We’re looking forward to a spirited  opinionated  enlightened viewing party. It might even get heated  so we’ll conclude by reminding everyone of something Spike Lee likes to say: “Spreading the love is the Brooklyn way.” Advertisement ,articles/movies
